,Element,URI,Description,Label,EquivalentClass,Domain,InverseOf,ParentProperty
U25 has scale,property,http://data.doremus.org/ontology#U25_has_scale,,,,,mus:U25i_is_scale_of,
U25i is scale of,property,http://data.doremus.org/ontology#U25i_is_scale_of,,U25i is scale of@en,,,,
U26 has maintained,property,http://data.doremus.org/ontology#U26_has_maintained,,,,,mus:U26i_was_maintained_by,
U26i was maintained by,property,http://data.doremus.org/ontology#U26i_was_maintained_by,,U26i was maintained by@en,,,,
U27 performed character,property,http://data.doremus.org/ontology#U27_performed_character,,,,,mus:U27i_character_was_performed_by,
U27i character was performed by,property,http://data.doremus.org/ontology#U27i_character_was_performed_by,,U27i character was performed by@en,,,,
U28 has ambitus,property,http://data.doremus.org/ontology#U28_has_ambitus,,,,,mus:U28i_is_ambitus_of,
U28i is ambitus of,property,http://data.doremus.org/ontology#U28i_is_ambitus_of,,U28i is ambitus of@en,,,,
U29 edited,property,http://data.doremus.org/ontology#U29_edited,,,,,mus:U29i_was_edited_by,
U29i was edited by,property,http://data.doremus.org/ontology#U29i_was_edited_by,,U29i was edited by@en,,,,
U30 foresees quantity of medium of performance,property,http://data.doremus.org/ontology#U30_foresees_quantity_of_mop,,,,mus:M23_Casting_Detail,,
U31 had function,property,http://data.doremus.org/ontology#U31_had_function,,,,,mus:U31i_was_function_of,
U31i was function of,property,http://data.doremus.org/ontology#U31i_was_function_of,,U31i was function of@en,,,,
U32 had responsibility,property,http://data.doremus.org/ontology#U32_had_responsibility,,,,,mus:U32i_was_responsibility_of,
U32i was responsibility of,property,http://data.doremus.org/ontology#U32i_was_responsibility_of,,U32i was responsibility of@en,,,,
U33 has set of characters,property,http://data.doremus.org/ontology#U33_has_set_of_characters,,,,,mus:U33i_is_set_of_characters_of,
U33i is set of characters of,property,http://data.doremus.org/ontology#U33i_is_set_of_characters_of,,U33i is set of characters of@en,,,,
U34 foresees character,property,http://data.doremus.org/ontology#U34_foresees_character,,,,,mus:U34i_is_foreseen_character_of,
U34i is foreseen character of,property,http://data.doremus.org/ontology#U34i_is_foreseen_character_of,,U34i is foreseen character of@en,,,,
U35 foresees function,property,http://data.doremus.org/ontology#U35_foresees_function,,,,,mus:U35i_is_foreseen_function_of,
U35i is foreseen function of,property,http://data.doremus.org/ontology#U35i_is_foreseen_function_of,,U35i is foreseen function of@en,,,,
U36 foresees responsibility,property,http://data.doremus.org/ontology#U36_foresees_responsibility,,,,,mus:U36i_is_foreseen_responsibility_of,
U36i is foreseen responsibility of,property,http://data.doremus.org/ontology#U36i_is_foreseen_responsibility_of,,U36i is foreseen responsibility of@en,,,,
U37 foresees performing character,property,http://data.doremus.org/ontology#U37_foresees_performing_character,,,,,mus:U37i_is_foreseen_character_in,
U37i is foreseen character in,property,http://data.doremus.org/ontology#U37i_is_foreseen_character_in,,U37i is foreseen character in@en,,,,
U38 has descriptive expression,property,http://data.doremus.org/ontology#U38_has_descriptive_expression,,,,,mus:U38i_is_descriptive_expression_of,
U38i is descriptive expression of,property,http://data.doremus.org/ontology#U38i_is_descriptive_expression_of,,U38i is descriptive expression of@en,,,,
U39 has tuned,property,http://data.doremus.org/ontology#U39_has_tuned,,,,,mus:U39i_was_tuned_by,
U39i was tuned by,property,http://data.doremus.org/ontology#U39i_was_tuned_by,,U39i was tuned by@en,,,,
U40 has catalogue name,property,http://data.doremus.org/ontology#U40_has_catalogue_name,,,,,mus:U40i_is_catalogue_name_of,
U40i is catalogue name of,property,http://data.doremus.org/ontology#U40i_is_catalogue_name_of,,U40i is catalogue name of@en,,,,
U41 has catalogue number,property,http://data.doremus.org/ontology#U41_has_catalogue_number,,,,mus:M1_Catalogue_Statement,,
U42 has opus number,property,http://data.doremus.org/ontology#U42_has_opus_number,,,,mus:M2_Opus_Statement,,
U43 has opus subnumber,property,http://data.doremus.org/ontology#U43_has_opus_subnumber,,,,mus:M2_Opus_Statement,,
U44 has dedication statement,property,http://data.doremus.org/ontology#U44_has_dedication_statement,,,,,mus:U44i_is_dedication_statement_of,
U44i is dedication statement of,property,http://data.doremus.org/ontology#U44i_is_dedication_statement_of,,U44i is dedication statement of@en,,,,
U45 has metronome indication,property,http://data.doremus.org/ontology#U45_has_metronome_indication,,,,,mus:U45i_is_metronome_indication_of,
U45i is metronome indication of,property,http://data.doremus.org/ontology#U45i_is_metronome_indication_of,,U45i is metronome indication of@en,,,,
U46 occurred in context,property,http://data.doremus.org/ontology#U46_occurred_in_context,,,,,mus:U46i_was_context_of,
U46i was context of,property,http://data.doremus.org/ontology#U46i_was_context_of,,U46i was context of@en,,,,
